market,model,seed,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar,num_test_days,pred_path_or_ckpt_path
csi300,factorvqvae,0,0.013584644482008964,0.08185564460669495,0.03981195869828353,0.2617935533736315,0.09210870707228169,0.16550947491662157,-0.241066255772876,0.532358772894772,0.8368539907160454,0.38208876135307474,727,outputs/csi300/results/csi300_Stage2_VQ512_Th64_h2_l2_sd0.pkl
csi300,factorvqvae,1,0.011486057235206723,0.067429451250611,0.038066052054120746,0.24150954421913418,0.07885154084416279,0.16313557449462202,-0.2507981908330249,0.46523934136202744,0.7374324958663163,0.3144023510786015,727,outputs/csi300/results/csi300_Stage2_VQ512_Th64_h2_l2_sd1.pkl
csi300,factorvqvae,2,0.01289505794548793,0.0768595307967077,0.0404047191035364,0.2596979818501692,0.07261132548288929,0.16268258891449047,-0.21644905040212303,0.43087688046370753,0.6611059294944964,0.3354661309346963,727,outputs/csi300/results/csi300_Stage2_VQ512_Th64_h2_l2_sd2.pkl
csi300,factorvqvae,3,0.01356491747831461,0.08177065423199727,0.04075237141369491,0.2647992771805498,0.12229949926850092,0.16466884224239262,-0.24857227168823426,0.700677209503129,1.1106237605391085,0.4920078109994992,727,outputs/csi300/results/csi300_Stage2_VQ512_Th64_h2_l2_sd3.pkl
csi300,factorvqvae,4,0.01250199205559084,0.07302300073880842,0.03976388108100159,0.2488908886231925,0.06415624933548059,0.16563277216520053,-0.22911208786459214,0.37542226821579094,0.5956566036671941,0.2800212329844319,727,outputs/csi300/results/csi300_Stage2_VQ512_Th64_h2_l2_sd4.pkl
sp500,factorvqvae,0,0.0009863876971426269,0.00800039130180885,0.0062476150080439325,0.04731622078828186,0.0301464968369487,0.12587490340947452,-0.15964486767523745,0.235956662226724,0.3287842870246806,0.18883473847887897,752,outputs/sp500/results/sp500_Stage2_VQ128_Th32_h4_l2_sd0.pkl
sp500,factorvqvae,1,0.0004907877274860365,0.004049420958380188,0.003236031061122868,0.024107538750240888,0.023736187521382845,0.1366392944829864,-0.1808543429900047,0.1716846104942331,0.24519051194306038,0.1312447748224364,752,outputs/sp500/results/sp500_Stage2_VQ128_Th32_h4_l2_sd1.pkl
sp500,factorvqvae,2,0.0015913593631597873,0.013138295373926443,0.003876797384322226,0.029153595112310478,0.03326977418972832,0.15560696372716565,-0.1792312052491566,0.21032678293227589,0.29637604010746127,0.1856248979829079,752,outputs/sp500/results/sp500_Stage2_VQ128_Th32_h4_l2_sd2.pkl
sp500,factorvqvae,3,0.0037381022079528542,0.02932177322184808,0.0065203445490206536,0.04662531486171349,0.013010531106409706,0.15062546937434232,-0.20217516590823725,0.08581962416546023,0.12163508825186807,0.0643527658204811,752,outputs/sp500/results/sp500_Stage2_VQ128_Th32_h4_l2_sd3.pkl
sp500,factorvqvae,4,-0.005550177836303287,-0.05408117884617789,-0.0022889296652677336,-0.02024685374428337,0.0036781263175391654,0.14580269599777623,-0.2050649917409636,0.025180457239413343,0.03514695116998621,0.017936393171318798,752,outputs/sp500/results/sp500_Stage2_VQ128_Th32_h4_l2_sd4.pkl
